GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,OA_CODE,OA_NAME,AREA_METADATA,DATA_VALUE All,DATA_VALUE NoC,DATA_VALUE 1,DATA_VALUE 2,DATA_VALUE 3,DATA_VALUE 4
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009052,Birmingham 035B,00CNFL0055,00CNFL0055,,133,24,42,45,18,4
F,West Midlands,,,00CN,Birmingham,E02001859,Birmingham 033,E01009053,Birmingham 033B,00CNFL0056,00CNFL0056,,126,21,49,28,22,6
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009050,Birmingham 035A,00CNFL0057,00CNFL0057,,131,29,47,36,19,0
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009055,Birmingham 035C,00CNFL0058,00CNFL0058,,137,20,49,43,19,6
F,West Midlands,,,00CN,Birmingham,E02001859,Birmingham 033,E01009053,Birmingham 033B,00CNFL0059,00CNFL0059,,125,17,29,38,36,5
F,West Midlands,,,00CN,Birmingham,E02001858,Birmingham 032,E01009056,Birmingham 032B,00CNFL0060,00CNFL0060,,144,33,48,41,22,0
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009057,Birmingham 035D,00CNFL0061,00CNFL0061,,130,22,47,37,15,9
F,West Midlands,,,00CN,Birmingham,E02001859,Birmingham 033,E01009054,Birmingham 033C,00CNFL0062,00CNFL0062,,111,19,44,31,14,3
F,West Midlands,,,00CN,Birmingham,E02001858,Birmingham 032,E01009056,Birmingham 032B,00CNFL0063,00CNFL0063,,134,31,40,42,15,6
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009050,Birmingham 035A,00CNFL0064,00CNFL0064,,114,17,36,33,19,9
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009052,Birmingham 035B,00CNFL0065,00CNFL0065,,119,16,32,43,25,3
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009050,Birmingham 035A,00CNFL0066,00CNFL0066,,128,15,40,40,26,7
F,West Midlands,,,00CN,Birmingham,E02001859,Birmingham 033,E01009051,Birmingham 033A,00CNFL0067,00CNFL0067,,126,24,35,45,22,0
F,West Midlands,,,00CN,Birmingham,E02001861,Birmingham 035,E01009052,Birmingham 035B,00CNFL0068,00CNFL0068,,143,24,44,41,23,11
F,West Midlands,,,00CN,Birmingham,E02001859,Birmingham 033,E01009058,Birmingham 033D,00CNFL0069,00CNFL0069,,138,19,39,37,36,7
F,West Midlands,,,00CN,Birmingham,E02001921,Birmingham 095,E01009064,Birmingham 095B,00CNFM0001,00CNFM0001,,109,22,26,29,22,10
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009069,Birmingham 075D,00CNFM0002,00CNFM0002,,136,77,32,19,8,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009070,Birmingham 073B,00CNFM0003,00CNFM0003,,120,50,36,21,10,3
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009075,Birmingham 087C,00CNFM0004,00CNFM0004,,125,59,35,20,11,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009076,Birmingham 087D,00CNFM0005,00CNFM0005,,133,73,36,13,11,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009067,Birmingham 075B,00CNFM0006,00CNFM0006,,115,56,39,17,3,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009065,Birmingham 075A,00CNFM0007,00CNFM0007,,124,72,29,17,3,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009072,Birmingham 075E,00CNFM0008,00CNFM0008,,114,42,27,39,6,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009069,Birmingham 075D,00CNFM0009,00CNFM0009,,140,96,30,6,8,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009068,Birmingham 075C,00CNFM0010,00CNFM0010,,118,59,33,20,6,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009065,Birmingham 075A,00CNFM0011,00CNFM0011,,131,78,31,14,8,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009069,Birmingham 075D,00CNFM0012,00CNFM0012,,128,71,16,24,14,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009067,Birmingham 075B,00CNFM0013,00CNFM0013,,121,59,27,27,5,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009067,Birmingham 075B,00CNFM0014,00CNFM0014,,116,37,29,44,6,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009070,Birmingham 073B,00CNFM0015,00CNFM0015,,134,59,36,31,8,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009068,Birmingham 075C,00CNFM0016,00CNFM0016,,140,93,23,15,6,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009068,Birmingham 075C,00CNFM0017,00CNFM0017,,120,58,28,18,13,3
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009070,Birmingham 073B,00CNFM0018,00CNFM0018,,114,67,32,12,3,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009072,Birmingham 075E,00CNFM0019,00CNFM0019,,113,57,19,29,8,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009069,Birmingham 075D,00CNFM0020,00CNFM0020,,145,82,39,17,7,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009070,Birmingham 073B,00CNFM0021,00CNFM0021,,116,42,35,32,7,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009068,Birmingham 075C,00CNFM0022,00CNFM0022,,126,49,28,42,7,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009075,Birmingham 087C,00CNFM0023,00CNFM0023,,163,16,41,75,23,8
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009071,Birmingham 087B,00CNFM0024,00CNFM0024,,137,50,48,32,7,0
F,West Midlands,,,00CN,Birmingham,E02001899,Birmingham 073,E01009070,Birmingham 073B,00CNFM0025,00CNFM0025,,107,47,31,24,5,0
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009072,Birmingham 075E,00CNFM0026,00CNFM0026,,122,62,27,22,8,3
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009073,Birmingham 085A,00CNFM0027,00CNFM0027,,122,26,41,35,16,4
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009072,Birmingham 075E,00CNFM0028,00CNFM0028,,110,54,29,15,12,0
F,West Midlands,,,00CN,Birmingham,E02001911,Birmingham 085,E01009074,Birmingham 085B,00CNFM0029,00CNFM0029,,129,25,38,34,32,0
F,West Midlands,,,00CN,Birmingham,E02001913,Birmingham 087,E01009071,Birmingham 087B,00CNFM0030,00CNFM0030,,132,30,32,45,22,3
F,West Midlands,,,00CN,Birmingham,E02001901,Birmingham 075,E01009072,Birmingham 075E,00CNFM0031,00CNFM0031,,141,67,32,23,19,0
