GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,OA_CODE,OA_NAME,AREA_METADATA,DATA_VALUE All,DATA_VALUE NoC,DATA_VALUE 1,DATA_VALUE 2,DATA_VALUE 3,DATA_VALUE 4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0001,00CNFA0001,,120,68,37,12,3,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0002,00CNFA0002,,152,71,59,22,0,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0003,00CNFA0003,,122,30,34,42,16,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0004,00CNFA0004,,137,53,42,30,9,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0005,00CNFA0005,,127,16,31,51,21,8
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008892,Birmingham 089C,00CNFA0006,00CNFA0006,,134,25,49,32,22,6
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0007,00CNFA0007,,135,31,62,32,10,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0008,00CNFA0008,,128,24,48,32,21,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0009,00CNFA0009,,126,26,50,30,17,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008890,Birmingham 089A,00CNFA0010,00CNFA0010,,140,41,40,41,15,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0011,00CNFA0011,,122,27,48,34,10,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0012,00CNFA0012,,128,47,44,26,11,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0013,00CNFA0013,,141,57,40,36,4,4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0014,00CNFA0014,,128,30,47,35,13,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0015,00CNFA0015,,144,29,38,60,14,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0016,00CNFA0016,,142,47,43,27,22,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0017,00CNFA0017,,104,26,31,24,23,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0018,00CNFA0018,,115,23,26,37,24,5
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0019,00CNFA0019,,123,33,35,28,20,7
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008894,Birmingham 089E,00CNFA0020,00CNFA0020,,117,9,41,55,12,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0021,00CNFA0021,,107,33,25,29,16,4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008895,Birmingham 089F,00CNFA0022,00CNFA0022,,111,29,30,23,25,4
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0023,00CNFA0023,,111,15,30,41,20,5
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0024,00CNFA0024,,129,8,27,34,46,14
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0025,00CNFA0025,,103,15,27,31,22,8
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0026,00CNFA0026,,121,19,40,40,19,3
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0027,00CNFA0027,,124,36,52,26,10,0
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008898,Birmingham 066C,00CNFA0028,00CNFA0028,,117,12,34,31,32,8
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0029,00CNFA0029,,117,15,28,42,21,11
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0030,00CNFA0030,,113,6,41,39,22,5
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0031,00CNFA0031,,122,18,32,40,27,5
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008898,Birmingham 066C,00CNFA0032,00CNFA0032,,126,19,41,45,21,0
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008896,Birmingham 066B,00CNFA0033,00CNFA0033,,124,6,33,46,31,8
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008881,Birmingham 067A,00CNFA0034,00CNFA0034,,118,33,31,40,11,3
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008898,Birmingham 066C,00CNFA0035,00CNFA0035,,109,11,30,35,27,6
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008897,Birmingham 067B,00CNFA0036,00CNFA0036,,114,26,36,28,20,4
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008881,Birmingham 067A,00CNFA0037,00CNFA0037,,116,14,21,40,31,10
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008882,Birmingham 066A,00CNFA0038,00CNFA0038,,121,13,35,39,24,10
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008898,Birmingham 066C,00CNFA0039,00CNFA0039,,107,10,22,30,31,14
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008881,Birmingham 067A,00CNFA0040,00CNFA0040,,126,15,33,48,23,7
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008898,Birmingham 066C,00CNFA0041,00CNFA0041,,99,8,17,42,20,12
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008881,Birmingham 067A,00CNFA0042,00CNFA0042,,119,26,36,38,15,4
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008882,Birmingham 066A,00CNFA0043,00CNFA0043,,135,25,45,40,21,4
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008882,Birmingham 066A,00CNFA0044,00CNFA0044,,141,13,51,44,28,5
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008882,Birmingham 066A,00CNFA0045,00CNFA0045,,129,22,33,37,27,10
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008883,Birmingham 078A,00CNFA0046,00CNFA0046,,111,12,26,43,25,5
F,West Midlands,,,00CN,Birmingham,E02001893,Birmingham 067,E01008881,Birmingham 067A,00CNFA0047,00CNFA0047,,118,18,22,51,22,5
F,West Midlands,,,00CN,Birmingham,E02001892,Birmingham 066,E01008882,Birmingham 066A,00CNFA0048,00CNFA0048,,140,21,40,43,31,5
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008884,Birmingham 078B,00CNFA0049,00CNFA0049,,115,22,36,29,23,5
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008883,Birmingham 078A,00CNFA0050,00CNFA0050,,144,34,37,42,24,7
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008883,Birmingham 078A,00CNFA0051,00CNFA0051,,106,24,40,23,16,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008883,Birmingham 078A,00CNFA0052,00CNFA0052,,132,30,52,27,17,6
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008884,Birmingham 078B,00CNFA0053,00CNFA0053,,138,36,36,33,28,5
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008886,Birmingham 076B,00CNFA0054,00CNFA0054,,120,27,48,30,15,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008884,Birmingham 078B,00CNFA0055,00CNFA0055,,140,27,45,38,22,8
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008886,Birmingham 076B,00CNFA0056,00CNFA0056,,108,32,23,38,15,0
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008886,Birmingham 076B,00CNFA0057,00CNFA0057,,111,27,42,22,20,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008884,Birmingham 078B,00CNFA0058,00CNFA0058,,116,18,29,40,22,7
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008884,Birmingham 078B,00CNFA0059,00CNFA0059,,124,13,37,52,17,5
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008883,Birmingham 078A,00CNFA0060,00CNFA0060,,136,18,40,35,29,14
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008885,Birmingham 076A,00CNFA0061,00CNFA0061,,117,39,48,17,13,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008887,Birmingham 078C,00CNFA0062,00CNFA0062,,122,17,43,40,18,4
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008886,Birmingham 076B,00CNFA0063,00CNFA0063,,113,3,34,57,16,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008887,Birmingham 078C,00CNFA0064,00CNFA0064,,122,15,27,36,34,10
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008886,Birmingham 076B,00CNFA0065,00CNFA0065,,116,33,35,27,18,3
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008887,Birmingham 078C,00CNFA0066,00CNFA0066,,130,24,37,45,19,5
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008885,Birmingham 076A,00CNFA0067,00CNFA0067,,124,35,44,34,11,0
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008886,Birmingham 076B,00CNFA0068,00CNFA0068,,129,53,46,23,7,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0069,00CNFA0069,,134,25,46,41,19,3
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008885,Birmingham 076A,00CNFA0070,00CNFA0070,,140,38,53,39,10,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008887,Birmingham 078C,00CNFA0071,00CNFA0071,,124,21,28,41,24,10
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008890,Birmingham 089A,00CNFA0072,00CNFA0072,,124,29,35,38,17,5
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008885,Birmingham 076A,00CNFA0073,00CNFA0073,,115,33,38,23,17,4
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008888,Birmingham 076C,00CNFA0074,00CNFA0074,,125,33,36,38,15,3
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008888,Birmingham 076C,00CNFA0075,00CNFA0075,,137,39,56,31,11,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008887,Birmingham 078C,00CNFA0076,00CNFA0076,,121,30,37,38,11,5
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008890,Birmingham 089A,00CNFA0077,00CNFA0077,,122,25,38,47,9,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008890,Birmingham 089A,00CNFA0078,00CNFA0078,,135,60,42,26,7,0
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008888,Birmingham 076C,00CNFA0079,00CNFA0079,,143,41,57,29,16,0
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008888,Birmingham 076C,00CNFA0080,00CNFA0080,,108,32,40,28,8,0
F,West Midlands,,,00CN,Birmingham,E02001902,Birmingham 076,E01008888,Birmingham 076C,00CNFA0081,00CNFA0081,,126,32,44,30,17,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008890,Birmingham 089A,00CNFA0082,00CNFA0082,,138,59,48,24,4,3
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0083,00CNFA0083,,132,28,49,46,9,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008892,Birmingham 089C,00CNFA0084,00CNFA0084,,132,34,34,37,23,4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008892,Birmingham 089C,00CNFA0085,00CNFA0085,,125,19,58,28,20,0
F,West Midlands,,,00CN,Birmingham,E02001904,Birmingham 078,E01008889,Birmingham 078D,00CNFA0086,00CNFA0086,,140,32,48,38,17,5
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008893,Birmingham 089D,00CNFA0087,00CNFA0087,,123,38,35,32,14,4
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008891,Birmingham 089B,00CNFA0088,00CNFA0088,,150,8,52,75,15,0
F,West Midlands,,,00CN,Birmingham,E02001915,Birmingham 089,E01008892,Birmingham 089C,00CNFA0089,00CNFA0089,,127,30,38,36,20,3
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008907,Birmingham 040B,00CNFB0001,00CNFB0001,,111,19,29,36,22,5
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008907,Birmingham 040B,00CNFB0002,00CNFB0002,,126,11,31,41,36,7
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008905,Birmingham 040A,00CNFB0003,00CNFB0003,,126,9,44,38,25,10
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008909,Birmingham 041D,00CNFB0004,00CNFB0004,,132,25,45,40,22,0
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008910,Birmingham 050A,00CNFB0005,00CNFB0005,,120,19,42,29,26,4
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008911,Birmingham 049B,00CNFB0006,00CNFB0006,,167,33,52,56,26,0
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008900,Birmingham 037B,00CNFB0007,00CNFB0007,,129,11,32,50,30,6
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008902,Birmingham 037D,00CNFB0008,00CNFB0008,,113,7,32,35,34,5
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008901,Birmingham 037C,00CNFB0009,00CNFB0009,,154,21,43,47,37,6
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008908,Birmingham 041C,00CNFB0010,00CNFB0010,,171,20,49,59,40,3
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008905,Birmingham 040A,00CNFB0011,00CNFB0011,,113,5,37,41,22,8
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008909,Birmingham 041D,00CNFB0012,00CNFB0012,,109,9,31,46,23,0
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008905,Birmingham 040A,00CNFB0013,00CNFB0013,,112,10,37,37,23,5
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008910,Birmingham 050A,00CNFB0014,00CNFB0014,,165,23,58,51,29,4
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008906,Birmingham 049A,00CNFB0015,00CNFB0015,,93,8,18,43,18,6
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008908,Birmingham 041C,00CNFB0016,00CNFB0016,,130,18,39,40,28,5
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008908,Birmingham 041C,00CNFB0017,00CNFB0017,,131,16,39,56,17,3
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008906,Birmingham 049A,00CNFB0018,00CNFB0018,,124,10,39,42,27,6
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008907,Birmingham 040B,00CNFB0019,00CNFB0019,,122,17,25,48,25,7
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008904,Birmingham 041B,00CNFB0020,00CNFB0020,,133,7,36,72,15,3
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008906,Birmingham 049A,00CNFB0021,00CNFB0021,,121,17,39,40,21,4
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008906,Birmingham 049A,00CNFB0022,00CNFB0022,,106,10,30,45,14,7
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008913,Birmingham 050B,00CNFB0023,00CNFB0023,,144,17,47,50,21,9
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008907,Birmingham 040B,00CNFB0024,00CNFB0024,,120,21,35,40,17,7
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008912,Birmingham 049C,00CNFB0025,00CNFB0025,,124,24,29,49,19,3
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008908,Birmingham 041C,00CNFB0026,00CNFB0026,,107,14,37,30,22,4
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008910,Birmingham 050A,00CNFB0027,00CNFB0027,,126,18,43,40,20,5
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008909,Birmingham 041D,00CNFB0028,00CNFB0028,,132,20,39,43,20,10
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008913,Birmingham 050B,00CNFB0029,00CNFB0029,,129,15,50,34,25,5
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008910,Birmingham 050A,00CNFB0030,00CNFB0030,,125,27,43,34,21,0
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008911,Birmingham 049B,00CNFB0031,00CNFB0031,,135,23,56,32,20,4
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008909,Birmingham 041D,00CNFB0032,00CNFB0032,,101,28,42,21,10,0
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008912,Birmingham 049C,00CNFB0033,00CNFB0033,,100,7,18,41,28,6
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008911,Birmingham 049B,00CNFB0034,00CNFB0034,,134,18,37,49,24,6
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008913,Birmingham 050B,00CNFB0035,00CNFB0035,,140,13,51,44,28,4
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008912,Birmingham 049C,00CNFB0036,00CNFB0036,,152,21,47,49,32,3
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008913,Birmingham 050B,00CNFB0037,00CNFB0037,,147,18,53,44,24,8
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008914,Birmingham 050C,00CNFB0038,00CNFB0038,,170,30,64,54,19,3
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008911,Birmingham 049B,00CNFB0039,00CNFB0039,,161,27,65,43,22,4
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008912,Birmingham 049C,00CNFB0040,00CNFB0040,,139,13,52,43,28,3
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008912,Birmingham 049C,00CNFB0041,00CNFB0041,,150,23,47,48,28,4
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008913,Birmingham 050B,00CNFB0042,00CNFB0042,,138,21,46,46,22,3
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008914,Birmingham 050C,00CNFB0043,00CNFB0043,,161,37,64,36,21,3
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008914,Birmingham 050C,00CNFB0044,00CNFB0044,,116,29,51,24,8,4
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008914,Birmingham 050C,00CNFB0045,00CNFB0045,,168,23,54,61,27,3
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008912,Birmingham 049C,00CNFB0046,00CNFB0046,,148,44,61,25,15,3
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008914,Birmingham 050C,00CNFB0047,00CNFB0047,,166,24,54,59,24,5
F,West Midlands,,,00CN,Birmingham,E02001856,Birmingham 030,E01008915,Birmingham 030A,00CNFB0048,00CNFB0048,,132,18,55,40,19,0
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008899,Birmingham 037A,00CNFB0049,00CNFB0049,,130,12,31,41,29,17
F,West Midlands,,,00CN,Birmingham,E02001856,Birmingham 030,E01008915,Birmingham 030A,00CNFB0050,00CNFB0050,,145,29,42,43,27,4
F,West Midlands,,,00CN,Birmingham,E02001856,Birmingham 030,E01008915,Birmingham 030A,00CNFB0051,00CNFB0051,,111,11,36,37,20,7
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008916,Birmingham 037E,00CNFB0052,00CNFB0052,,117,11,31,46,21,8
F,West Midlands,,,00CN,Birmingham,E02001856,Birmingham 030,E01008915,Birmingham 030A,00CNFB0053,00CNFB0053,,138,30,43,29,31,5
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008916,Birmingham 037E,00CNFB0054,00CNFB0054,,137,15,36,52,31,3
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008916,Birmingham 037E,00CNFB0055,00CNFB0055,,106,12,26,31,30,7
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008916,Birmingham 037E,00CNFB0056,00CNFB0056,,111,14,27,34,28,8
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008901,Birmingham 037C,00CNFB0057,00CNFB0057,,117,20,50,34,13,0
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008899,Birmingham 037A,00CNFB0058,00CNFB0058,,106,9,28,37,24,8
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008900,Birmingham 037B,00CNFB0059,00CNFB0059,,100,10,26,34,27,3
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008900,Birmingham 037B,00CNFB0060,00CNFB0060,,93,13,25,32,20,3
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008900,Birmingham 037B,00CNFB0061,00CNFB0061,,89,9,15,40,21,4
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008900,Birmingham 037B,00CNFB0062,00CNFB0062,,97,7,26,30,28,6
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008902,Birmingham 037D,00CNFB0063,00CNFB0063,,109,11,36,37,21,4
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008899,Birmingham 037A,00CNFB0064,00CNFB0064,,168,24,44,61,34,5
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008899,Birmingham 037A,00CNFB0065,00CNFB0065,,167,13,38,73,37,6
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008902,Birmingham 037D,00CNFB0066,00CNFB0066,,77,9,24,26,15,3
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008902,Birmingham 037D,00CNFB0067,00CNFB0067,,104,5,39,26,29,5
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008899,Birmingham 037A,00CNFB0068,00CNFB0068,,131,12,32,51,30,6
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008901,Birmingham 037C,00CNFB0069,00CNFB0069,,112,12,25,29,37,9
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008903,Birmingham 041A,00CNFB0070,00CNFB0070,,94,10,23,33,20,8
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008901,Birmingham 037C,00CNFB0071,00CNFB0071,,125,17,33,41,31,3
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008903,Birmingham 041A,00CNFB0072,00CNFB0072,,93,14,26,30,19,4
F,West Midlands,,,00CN,Birmingham,E02001863,Birmingham 037,E01008901,Birmingham 037C,00CNFB0073,00CNFB0073,,107,17,38,39,13,0
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008903,Birmingham 041A,00CNFB0074,00CNFB0074,,117,17,36,30,28,6
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008903,Birmingham 041A,00CNFB0075,00CNFB0075,,97,10,28,37,18,4
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008905,Birmingham 040A,00CNFB0076,00CNFB0076,,113,10,34,36,23,10
F,West Midlands,,,00CN,Birmingham,E02001866,Birmingham 040,E01008907,Birmingham 040B,00CNFB0077,00CNFB0077,,106,10,33,32,24,7
F,West Midlands,,,00CN,Birmingham,E02001876,Birmingham 050,E01008910,Birmingham 050A,00CNFB0078,00CNFB0078,,113,19,46,33,15,0
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008904,Birmingham 041B,00CNFB0079,00CNFB0079,,100,9,24,41,22,4
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008904,Birmingham 041B,00CNFB0080,00CNFB0080,,131,15,37,40,33,6
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008904,Birmingham 041B,00CNFB0081,00CNFB0081,,101,16,37,31,17,0
F,West Midlands,,,00CN,Birmingham,E02001875,Birmingham 049,E01008906,Birmingham 049A,00CNFB0082,00CNFB0082,,88,9,27,28,18,6
F,West Midlands,,,00CN,Birmingham,E02001867,Birmingham 041,E01008904,Birmingham 041B,00CNFB0083,00CNFB0083,,134,13,56,37,25,3
F,West Midlands,,,00CN,Birmingham,E02001932,Birmingham 106,E01008929,Birmingham 106C,00CNFC0001,00CNFC0001,,127,18,26,56,21,6
F,West Midlands,,,00CN,Birmingham,E02001932,Birmingham 106,E01008929,Birmingham 106C,00CNFC0002,00CNFC0002,,139,29,41,54,12,3
F,West Midlands,,,00CN,Birmingham,E02001932,Birmingham 106,E01008929,Birmingham 106C,00CNFC0003,00CNFC0003,,104,23,34,27,17,3
F,West Midlands,,,00CN,Birmingham,E02001928,Birmingham 102,E01008928,Birmingham 102E,00CNFC0004,00CNFC0004,,139,19,51,42,23,4
F,West Midlands,,,00CN,Birmingham,E02001920,Birmingham 094,E01008921,Birmingham 094C,00CNFC0005,00CNFC0005,,118,40,42,25,11,0
F,West Midlands,,,00CN,Birmingham,E02001920,Birmingham 094,E01008918,Birmingham 094A,00CNFC0006,00CNFC0006,,105,20,43,22,17,3
F,West Midlands,,,00CN,Birmingham,E02001928,Birmingham 102,E01008917,Birmingham 102A,00CNFC0007,00CNFC0007,,145,90,39,8,8,0
F,West Midlands,,,00CN,Birmingham,E02001920,Birmingham 094,E01008921,Birmingham 094C,00CNFC0008,00CNFC0008,,142,22,58,48,14,0
F,West Midlands,,,00CN,Birmingham,E02001928,Birmingham 102,E01008925,Birmingham 102C,00CNFC0009,00CNFC0009,,145,47,51,33,11,3
